PER,last_year_wins,continuity,avg_age,num_wins
205.2,44,0.652982724,28.07142857,45
167.6,46,0.812906504,28.6,44
123.9,25,0.477804878,25.08333333,33
186.7,43,0.711392276,26.86666667,44
161.9,41,0.580934959,27.2,42
109.4,47,0.558968496,30.2,42
174.7,31,0.900797764,24.46153846,39
197.8,29,0.475482724,27.46666667,19
183.6,40,0.561753049,26.5625,53
199.9,31,0.775706301,28.64285714,26
188.9,44,0.833577236,28.14285714,55
215.9,56,0.659476626,29,41
197.4,53,0.792139228,30.35714286,58
166.2,42,0.799822154,27.83333333,52
157.9,17,0.402398374,26.6,15
178.7,19,0.437581301,27.64285714,17
177.7,22,0.669512195,27.26666667,23
169.8,49,0.818734756,26.23076923,56
146,15,0.424054878,25.46666667,31
237.3,34,0.858191057,27.6875,45
162.1,28,0.376122967,26.16666667,25
157.5,42,0.29972561,28,32
206.2,52,0.445614837,28.4,50
196.8,59,0.892591463,30.14285714,50
175.2,35,0.79609248,26.14285714,36
173.5,45,0.611204268,28.35714286,47
161.3,55,0.707083333,29.91666667,53
217,53,0.661702236,29.17647059,51
153.1,32,0.39441565,27.06666667,30
181.3,67,0.733038618,28.21428571,56
171.6,35,0.652469512,25.84615385,40
161.9,41,0.554903455,25.69230769,43
182.2,45,0.744207317,28.06666667,44
176.7,50,0.735513211,27,47
155.8,49,0.523861789,26.66666667,46
148.5,50,0.722977642,29.71428571,48
184,20,0.577042683,30.23076923,56
190.3,36,0.61886687,26.07142857,17
162.4,39,0.746473577,27.16666667,58
159.8,40,0.536707317,28.25,56
188.3,30,0.449893293,27.52941176,16
197.5,15,0.220965447,27.41176471,36
144.8,30,0.330919715,25.90909091,19
139.1,21,0.192621951,27.3,11
121.4,26,0.467261179,28.1,43
211.7,57,0.677876016,29.5,61
197,57,0.852281504,29.8125,41
171.5,54,0.564679878,28.08333333,37
166.1,57,0.945569106,29.30769231,43
174.9,34,0.624456301,27.14285714,27
195,56,0.719908537,26.66666667,61
166.2,42,0.314695122,26.15384615,47
160.2,14,0.543119919,25.23076923,19
162.2,64,0.978231707,28.72727273,62
59.5,24,0.069146341,28.83333333,20
188.2,22,0.44726626,26,31
145.5,54,0.634110772,29.09090909,51
215.6,69,0.882647358,30.06666667,62
178.3,49,0.367855691,26.07692308,46
172.4,45,0.641814024,28.21428571,41
162.2,56,0.813739837,27.4375,50
159.6,40,0.80125,26.83333333,45
209,61,0.678135163,27.53333333,55
125.7,33,0.53296748,28,36
152.7,59,0.73484248,28.90909091,20
150.6,33,0.775670732,24.92857143,15
101.2,42,0.332982724,26.88888889,61
160.1,41,0.429542683,28.23076923,54
120.2,47,0.398338415,29.75,57
232.8,48,0.382815041,28.77777778,57
163.1,35,0.509639228,26.53846154,21
159,46,0.405030488,27.66666667,56
182.6,55,0.82773374,27.92857143,64
196.1,53,0.41210874,27.5,56
194.6,52,0.715599593,28.92857143,39
155.8,15,0.401295732,26.92307692,14
212.1,60,0.663297764,27.71428571,45
168.6,44,0.424527439,27.23076923,49
161.4,46,0.730848577,26.84615385,54
