@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,5-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute num_wins numeric

@data
202.6,59,0.816672,63
202.1,27,0.489746,21
198.8,45,0.582317,49
197.3,34,0.501148,45
194.6,45,0.688592,42
193.8,44,0.49561,33
193.3,26,0.654441,41
186.7,42,0.519797,49
186.6,37,0.531834,47
180.8,52,0.581072,35
176.7,49,0.91221,44
176.3,42,0.710574,50
172.5,47,0.777485,41
172.5,36,0.677967,36
170.3,59,0.474416,52
169,33,0.445859,27
168.8,62,0.492541,54
165.4,13,0.417307,26
162.5,45,0.433272,33
154.1,30,0.520808,40
153.9,54,0.893816,64
150.1,58,0.698364,60
142.6,51,0.461189,34
135.3,43,0.636636,38
134.5,50,0.286143,44
128,34,0.724492,34
212.5,60,0.725722,67
206.4,63,0.793999,58
190.6,54,0.867048,61
189.8,52,0.935889,44
187.7,34,0.495061,42
186.8,41,0.69654,51
186.7,49,0.433577,22
183.9,45,0.822912,42
183.4,41,0.370813,35
179.6,42,0.867785,41
178,41,0.729507,49
177.9,64,0.742647,53
177.1,40,0.466092,28
173.7,50,0.891113,50
171.6,26,0.838115,30
171.1,38,0.537373,35
169.4,38,0.486306,39
168.9,47,0.869985,40
165.3,36,0.656514,40
164.9,23,0.702266,33
159.4,44,0.71499,33
158.9,34,0.638674,52
154.2,21,0.394085,32
152,33,0.587718,24
149.9,27,0.502459,47
142.3,49,0.789787,41
133.5,35,0.663181,31
123.4,33,0.604345,32
114.2,44,0.469456,45
207.5,47,0.832652,41
207.1,22,0.429106,22
203.3,58,0.869228,56
202.1,53,0.724604,59
200.4,30,0.657348,37
199,40,0.646382,52
198.2,24,0.391169,66
197.4,44,0.495747,15
196,41,0.806535,43
191.8,42,0.671316,57
190.8,67,0.667124,51
184.9,61,0.674065,55
182.6,33,0.852652,23
182.3,31,0.719055,20
178.7,49,0.71091,33
178.1,50,0.655528,45
175.4,52,0.792566,55
172.9,32,0.573069,41
163.2,51,0.794126,54
162.8,32,0.3044,22
156.2,35,0.527978,40
154.7,42,0.598725,48
149.5,33,0.740025,38
146.5,28,0.581209,26
144.1,45,0.632744,50
141.8,40,0.746286,23
131.2,35,0.547663,36
123.7,41,0.480051,34
219.5,56,0.856733,54
217.4,48,0.544588,29
212.6,55,0.656824,53
209.4,23,0.489365,32
204.9,41,0.619507,33
198.3,36,0.65311,36
191.5,23,0.362612,19
190.4,66,0.876128,62
185.8,15,0.491687,43
181,26,0.50127,34
180.7,59,0.72878,39
175.7,52,0.582876,59
173,56,0.848425,49
172.7,43,0.812322,19
172.6,40,0.825437,41
171.4,57,0.728841,65
171,41,0.811418,54
170.6,50,0.533318,54
170.3,54,0.90189,48
156.5,55,0.515366,46
150.5,38,0.386103,17
147.4,22,0.612154,24
140.7,33,0.521865,41
135.6,51,0.71747,50
135.1,22,0.396408,24
128.5,37,0.698659,47
121.1,45,0.483775,66
105.5,34,0.305127,34
253.6,54,0.610137,50
233,23,0.644766,50
206.4,29,0.657566,26
202.8,48,0.771448,53
200.7,62,0.792698,50
195.7,36,0.639009,32
186.5,54,0.674919,50
186.1,53,0.374883,42
183.8,19,0.241047,26
182.3,34,0.467312,46
179.8,41,0.702185,27
178.3,47,0.83252,53
178.1,66,0.743643,61
176.1,50,0.603394,55
171.1,34,0.766636,12
169.8,65,0.848328,57
166.7,49,0.626733,37
161.9,19,0.477861,29
161.5,39,0.56249,27
158.8,24,0.644096,40
157,46,0.557297,54
153.6,24,0.392093,15
151.8,59,0.594832,59
144.3,43,0.781575,47
132.2,54,0.669248,53
123.5,32,0.452058,29
113.4,41,0.416987,41
107.7,33,0.391646,40
98.9,17,0.487551,25
210.3,50,0.664284,55
202.5,40,0.490417,22
202.2,50,0.78221,61
198.2,40,0.833471,46
197.4,50,0.520224,48
196.3,26,0.360279,36
188,53,0.448064,39
186.3,61,0.404502,19
186.2,32,0.721463,37
184.9,59,0.410158,52
184.6,53,0.785071,44
183,54,0.520869,40
182.5,27,0.825661,30
176.9,53,0.61282,50
173.8,57,0.843465,57
165.8,50,0.616377,56
164.7,26,0.236113,23
159.3,25,0.591875,24
159.2,47,0.455574,58
157.2,15,0.276428,17
157,46,0.581174,35
156.9,27,0.675849,41
156.3,12,0.15375,24
155.8,37,0.357124,46
138.8,55,0.665036,57
122.4,42,0.385376,43
121.1,29,0.365996,32
117.3,41,0.49063,62
116.7,29,0.055203,42
192.5,61,0.664593,50
190,37,0.6406,42
186.4,35,0.612495,31
185,57,0.663023,36
183,43,0.605208,34
182.8,30,0.787505,25
182.4,57,0.632185,41
178.5,58,0.765051,46
170.7,39,0.653252,36
169.1,41,0.964385,35
168.3,46,0.704715,41
167.7,62,0.866225,50
164.2,22,0.602271,23
163.2,32,0.541164,40
162.4,36,0.491301,23
161.2,17,0.782769,26
160.1,44,0.638831,40
157,24,0.502973,22
150,56,0.606961,39
147.4,55,0.810351,47
144.6,19,0.427927,21
140.7,48,0.437988,28
137.4,23,0.36061,20
134.8,46,0.404126,21
133.7,50,0.346911,38
123.4,40,0.655015,33
119.7,24,0.44095,22
106.2,52,0.504126,37
94.4,42,0.41502,36
248.1,50,0.658343,58
240.1,21,0.296204,27
217.3,36,0.465813,54
215.1,50,0.424776,45
214.9,38,0.494502,57
210.8,42,0.566555,49
201.4,47,0.565742,60
201.1,40,0.377978,44
198.1,26,0.47032,31
194.1,23,0.351519,47
190.4,40,0.473145,56
189,36,0.393704,41
185.6,36,0.565696,43
185,31,0.434695,38
184.7,33,0.343511,25
184.1,23,0.362043,34
183.5,39,0.488679,41
179.8,25,0.481916,29
178.4,35,0.366626,34
176.9,22,0.671657,28
175.5,34,0.095051,45
173.1,46,0.766946,66
171.4,20,0.392475,29
170.3,41,0.409212,56
168.4,37,0.243155,20
164.2,21,0.440635,24
150.2,28,0.360676,33
146.5,41,0.437276,45
229.1,57,0.427652,36
221.7,41,0.442861,49
221.5,54,0.660854,37
220.9,58,0.785427,62
214.7,31,0.525178,40
211,66,0.928572,54
195.7,56,0.664827,57
195.6,49,0.508526,44
190.4,60,0.834741,59
190.3,43,0.471123,25
184.3,44,0.510158,38
182.8,49,0.706072,56
176.9,41,0.418425,25
175.3,29,0.589675,29
170.1,34,0.161082,19
169.6,45,0.437663,27
169,47,0.646626,51
165.6,29,0.679329,44
162,25,0.32155,48
161.5,34,0.564624,48
161,38,0.309614,15
160.2,24,0.671265,33
155.7,33,0.739715,54
152.2,45,0.559837,48
147.3,28,0.363059,28
142.1,45,0.685229,54
136.5,56,0.585417,50
136.4,20,0.629273,23
336.2,54,0.475635,37
229.1,34,0.569776,45
216.4,49,0.336626,50
212.8,27,0.459273,21
210.1,54,0.5606,56
209.8,15,0.556133,41
208.6,62,0.972734,55
204.7,57,0.665935,56
203.4,37,0.327134,17
202.7,44,0.531829,38
202,38,0.866712,60
201.9,48,0.563293,39
198.9,40,0.487612,16
196.6,29,0.488714,32
189.2,54,0.843237,51
188.6,50,0.587363,55
180.1,44,0.7075,46
179.3,25,0.564024,38
165.7,59,0.632434,45
163.7,36,0.601087,30
161.7,56,0.758786,38
161.6,56,0,33
160.6,25,0.513582,40
159.9,51,0.858252,67
157.1,23,0.531408,25
143.2,33,0.414903,53
129.7,48,0.703369,49
116.8,48,0.740513,50
97,19,0.178059,18
91.3,28,0.387525,29
268.2,29,0.511895,33
231.9,67,0.91998,73
224.8,55,0.720894,67
213,60,0.751758,48
212.2,38,0.496895,45
211.8,56,0.622266,53
211.4,55,0.518867,42
209.7,16,0.479421,29
194.8,21,0.307967,17
194.6,49,0.623709,56
190.9,37,0.456311,48
190.1,45,0.800351,30
188.5,38,0.785915,40
187.1,51,0.347043,44
183.8,38,0.382795,21
183.7,50,0.430569,42
182.9,33,0.468633,48
182.4,25,0.589202,35
179.4,50,0.922454,42
173.6,41,0.541977,33
172.3,45,0.598953,55
170.1,46,0.624883,41
163.7,53,0.634924,57
155.4,17,0.243994,32
153.4,56,0.686499,41
147.7,30,0.334944,33
136.4,32,0.37654,44
130.8,40,0.586707,48
119.1,18,0.422256,10
109.3,39,0.399207,23
236,67,0.688455,61
226.2,73,0.624527,67
210.5,32,0.384329,31
209.8,48,0.644441,36
208.1,45,0.617983,42
207.6,42,0.474751,33
207.3,21,0.156245,20
205.8,41,0.501839,55
205.6,48,0.752104,53
203.4,56,0.675249,51
202.8,30,0.406723,34
197.8,53,0.81534,51
193.8,42,0.519477,43
191.6,33,0.454065,32
191.5,23,0.549817,24
189.6,42,0.28159,41
188.9,57,0.740899,51
186.8,55,0.496667,47
184,33,0.627967,42
183.5,40,0.758836,51
182.1,48,0.563089,43
181.7,17,0.576504,26
178.5,44,0.735056,37
177.7,10,0.386728,28
177.3,41,0.492988,49
176.7,48,0.484944,41
173.4,33,0.765147,40
171.4,44,0.797988,41
169.7,29,0.819258,31
157.7,35,0.542846,29
231.5,67,0.896377,58
227.3,40,0.631235,46
223.9,61,0.777907,47
221.8,53,0.366108,55
217.3,51,0.412881,48
208.4,24,0.668196,21
202.5,28,0.488537,52
202.2,51,0.276123,42
202.2,51,0.589761,59
195.9,37,0.493399,39
193.9,42,0.810564,44
