@relation lockout_fixed_with_age_postsub

@attribute ﻿PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute avg_age numeric
@attribute num_wins numeric

@data
152.7,41,0.491128,25.8,27
208.8,56,0.355965,28.666667,34
199.9,52,0.462358,27.5,58
197,61,0.824202,26.466667,44
146.4,21,0.06281,24.615385,36
217.2,37,0.798984,25.928571,52
165.8,41,0.602962,26.545455,30
199,58,0.890442,28.5625,44
172.5,25,0.842907,25.923077,45
147.5,36,0.368232,25.8,45
180.6,33,0.518379,27.571429,43
178.9,57,0.724639,28.066667,59
110.4,35,0.423791,24.5,42
164.6,50,0.828465,25.071429,45
142.4,54,0.639609,27.363636,54
165.6,43,0.785859,26.071429,49
164.6,28,0.59031,25.866667,37
201.5,37,0.470772,28.375,34
189.3,55,0.560208,28.769231,50
101.7,39,0.246321,28.375,33
169.5,47,0.467861,27.533333,42
98,33,0.324619,27.111111,33
162.9,42,0.371382,27.75,21
151,17,0.394162,24.307692,43
167.8,28,0.639045,24.923077,50
208.7,48,0.739654,26,61
206.5,37,0.622383,27,25
191.7,51,0.456286,28.384615,58
160.6,44,0.522612,26.285714,29
157.7,48,0.64686,28,33
160.9,25,0.564934,26.428571,42
188.6,30,0.384126,25.133333,23
149,17,0.346026,22.75,35
179,50,0.594675,29,54
175.9,50,0.714029,27.428571,56
177.5,47,0.825996,28.071429,41
220,24,0.358689,27.294118,33
164.1,60,0.646499,29.846154,57
158.8,35,0.234167,27.722222,28
200.2,27,0.480376,25.333333,28
143.9,42,0.264919,27.545455,41
109.1,40,0.558445,25.2,37
205,50,0.480107,28.733333,41
164.6,37,0.479258,28.538462,39
129.9,44,0.256524,27.083333,36
195.5,38,0.522236,25.1875,37
192.1,59,0.723831,27.5,55
173.2,43,0.581738,25.615385,45
148.9,49,0.929507,27.933333,47
215,60,0.574914,29.1875,52
171.8,47,0.376443,29.538462,42
202.8,42,0.614223,28.8,24
186.5,29,0.365051,25.866667,17
191.4,39,0.675798,25.133333,27
178.5,36,0.551631,28.176471,25
168,27,0.09904,27.461538,17
154.1,57,0.623577,28.083333,60
184.2,28,0.691174,26.428571,43
199.9,58,0.739472,28.866667,60
196.8,43,0.426804,27.388889,48
172.3,21,0.857033,25.384615,38
137.8,36,0.6519,27.090909,44
220.8,58,0.879797,28,50
181.5,44,0.677104,28.785714,47
143.9,42,0.725158,24.454545,48
189.3,50,0.718547,27.142857,51
177.4,23,0.64377,26.647059,28
220.5,45,0.477282,26,40
213.4,50,0.753613,28.133333,50
204.5,49,0.863044,28.733333,50
189.9,61,0.990955,27.307692,59
154.3,30,0.822215,29.857143,37
144.7,49,0.570823,26.166667,44
213.7,33,0.606865,26.411765,35
173.7,41,0.621037,28.230769,42
165,52,0.791001,25.785714,49
119,21,0.504187,24,30
201.1,37,0.476535,26.357143,37
