@relation 'Master-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7'

@attribute short_name {PHO,DAL,BOS,SAC,CLE,MIL,DET,CHI,DEN,WSB,HOU,UTA,NYK,ATL,GSW,MIN,IND,SAS,MIA,LAL,ORL,POR,CHH,LAC,PHI,NJN,SEA,VAN,TOR,WAS,MEM,NOH,NOK,OKC,BRK,NOP,CHA,CHO}
@attribute predicting_year numeric
@attribute PER numeric
@attribute continuity numeric
@attribute product numeric
@attribute num_wins numeric

@data
NYK,2016,155.4,0.243994,37.916652,32
NYK,2017,210.5,0.384329,80.901311,31
NYK,2018,191,0.493257,94.212109,29
ATL,1992,175.4,0.469014,82.265096,38
ATL,1993,212.2,0.710518,150.771982,43
ATL,1994,167.4,0.741225,124.080997,57
ATL,1995,173,0.620285,107.309228,42
ATL,1996,150.6,0.430965,64.903396,46
ATL,1997,159,0.40503,64.399848,56
ATL,1998,162.2,0.81374,131.988602,50
ATL,2000,194,0.236077,45.798984,28
ATL,2001,162.1,0.376123,60.969533,25
ATL,2002,123.9,0.477805,59.200024,33
ATL,2003,213.7,0.606865,129.687016,35
ATL,2004,158.8,0.234167,37.185667,28
ATL,2005,110.6,0.125447,13.874455,13
ATL,2006,165.4,0.417307,69.022563,26
ATL,2007,171.6,0.838115,143.820506,30
ATL,2008,200.4,0.657348,131.732451,37
ATL,2009,128.5,0.698659,89.777622,47
ATL,2010,178.3,0.83252,148.438374,53
ATL,2011,184.6,0.785071,144.924132,44
ATL,2013,201.1,0.377978,76.011304,44
ATL,2014,184.3,0.510158,94.022031,38
ATL,2015,202,0.866712,175.075905,60
ATL,2016,213,0.751758,160.124482,48
ATL,2017,182.1,0.563089,102.538585,43
ATL,2018,154.9,0.421306,65.260283,24
GSW,1992,173.3,0.740666,128.357357,55
GSW,1993,201.2,0.784817,157.905195,34
GSW,1994,226.2,0.638323,144.388701,50
GSW,1995,182.9,0.486133,88.913749,26
GSW,1996,217,0.314644,68.277815,36
GSW,1997,145.9,0.554116,80.845503,30
GSW,1998,144.8,0.33092,47.917175,19
GSW,2000,160.1,0.387063,61.968788,19
GSW,2001,178.7,0.437581,78.195778,17
GSW,2002,168.1,0.63346,106.484688,21
GSW,2003,172.3,0.857033,147.666703,38
GSW,2004,195.5,0.522236,102.097093,37
GSW,2005,201.5,0.470772,94.86063,34
GSW,2006,128,0.724492,92.734959,34
GSW,2007,187.7,0.495061,92.922945,42
GSW,2008,154.7,0.598725,92.622695,48
GSW,2009,217.4,0.544588,118.393521,29
GSW,2010,206.4,0.657566,135.721634,26
GSW,2011,196.3,0.360279,70.72286,36
GSW,2013,194.1,0.351519,68.229898,47
GSW,2014,169,0.646626,109.279797,51
GSW,2015,159.9,0.858252,137.2345,67
GSW,2016,231.9,0.91998,213.343287,73
GSW,2017,226.2,0.624527,141.268107,67
GSW,2018,231.5,0.896377,207.511283,58
MIN,1992,173.2,0.825955,143.055455,15
MIN,1993,160.7,0.254893,40.961352,19
MIN,1994,162.7,0.74373,121.004818,20
MIN,1995,172,0.650605,111.904004,21
MIN,1996,151,0.254284,38.396814,26
MIN,1997,129.5,0.55841,72.314037,40
MIN,1998,159.6,0.80125,127.8795,45
MIN,2000,144.2,0.46283,66.740127,50
MIN,2001,176.7,0.735513,129.965184,47
MIN,2002,172.5,0.785838,135.557127,50
MIN,2003,189.3,0.718547,136.020899,51
MIN,2004,191.7,0.456286,87.469944,58
MIN,2005,199,0.890442,177.197973,44
MIN,2006,193.8,0.49561,96.049171,33
MIN,2007,123.4,0.604345,74.576113,32
MIN,2008,162.8,0.3044,49.556386,22
MIN,2009,147.4,0.612154,90.231569,24
MIN,2010,153.6,0.392093,60.225561,15
MIN,2011,157.2,0.276428,43.454457,17
MIN,2013,198.1,0.47032,93.170416,31
MIN,2014,214.7,0.525178,112.755683,40
MIN,2015,198.9,0.487612,96.985985,16
MIN,2016,209.7,0.479421,100.534527,29
MIN,2017,169.7,0.819258,139.028105,31
MIN,2018,184.1,0.571032,105.1269,47
IND,1992,173.1,0.936148,162.047283,40
IND,1993,172,0.713831,122.778984,41
IND,1994,186.6,0.753806,140.66018,47
IND,1995,208.1,0.849883,176.860679,52
IND,1996,189.8,0.775274,147.147079,52
IND,1997,194.6,0.7156,139.255681,39
IND,1998,162.4,0.746474,121.227309,58
IND,2000,175.2,0.544405,95.379841,56
IND,2001,215.9,0.659477,142.381004,41
IND,2002,161.9,0.580935,94.05337,42
IND,2003,143.9,0.725158,104.350167,48
IND,2004,208.7,0.739654,154.365888,61
IND,2005,197,0.824202,162.36784,44
IND,2006,226,0.752734,170.117825,41
IND,2007,183.4,0.370813,68.007106,35
IND,2008,131.2,0.547663,71.853333,36
IND,2009,198.3,0.65311,129.511665,36
IND,2010,195.7,0.639009,125.05409,32
IND,2011,186.2,0.721463,134.336488,37
IND,2013,210.8,0.566555,119.429768,49
IND,2014,182.8,0.706072,129.06999,56
IND,2015,161.7,0.758786,122.695627,38
IND,2016,212.2,0.496895,105.441188,45
IND,2017,208.1,0.617983,128.602205,42
IND,2018,193.8,0.369533,71.615402,48
SAS,1992,173,0.802073,138.758658,47
SAS,1993,208.3,0.588328,122.548775,49
SAS,1994,168.4,0.590523,99.444136,55
SAS,1995,208,0.689751,143.468211,62
SAS,1996,170.3,0.677962,115.456996,59
SAS,1997,152.7,0.734842,112.210447,20
SAS,1998,184,0.577043,106.175854,56
SAS,2000,213,0.584614,124.522744,53
SAS,2001,197.4,0.792139,156.368283,58
SAS,2002,212.8,0.619466,131.822463,58
SAS,2003,199.9,0.739472,147.820362,60
SAS,2004,164.1,0.646499,106.090483,57
SAS,2005,178.9,0.724639,129.637958,59
SAS,2006,202.6,0.816672,165.457696,63
SAS,2007,206.4,0.793999,163.88139,58
SAS,2008,203.3,0.869228,176.71398,56
SAS,2009,219.5,0.856733,188.052833,54
SAS,2010,253.6,0.610137,154.730793,50
SAS,2011,202.2,0.78221,158.162936,61
SAS,2013,248.1,0.658343,163.335021,58
SAS,2014,220.9,0.785427,173.500787,62
SAS,2015,208.6,0.972734,202.912258,55
SAS,2016,224.8,0.720894,162.057041,67
SAS,2017,236,0.688455,162.475447,61
SAS,2018,223.9,0.777907,174.173266,47
MIA,1992,170.2,0.742861,126.434904,38
MIA,1993,161.7,0.920508,148.846165,36
MIA,1994,176,0.959045,168.79187,42
MIA,1995,172.4,0.483293,83.319659,32
MIA,1996,150.9,0.043445,6.555869,42
MIA,1997,101.2,0.332983,33.697852,61
MIA,1998,209,0.678135,141.730249,55
MIA,2000,178,0.499954,88.99186,52
MIA,2001,206.2,0.445615,91.885779,50
MIA,2002,194,0.382871,74.276961,36
MIA,2003,178.5,0.551631,98.466151,25
MIA,2004,160.9,0.564934,90.897871,42
MIA,2005,170.5,0.385843,65.786316,59
MIA,2006,170.3,0.474416,80.792985,52
MIA,2007,189.8,0.935889,177.631775,44
MIA,2008,197.4,0.495747,97.860448,15
MIA,2009,185.8,0.491687,91.355443,43
MIA,2010,144.3,0.781575,112.781302,47
MIA,2011,159.2,0.455574,72.527411,58
MIA,2013,173.1,0.766946,132.758376,66
MIA,2014,211,0.928572,195.928725,54
MIA,2015,336.2,0.475635,159.908542,37
MIA,2016,190.9,0.456311,87.109765,48
MIA,2017,176.7,0.484944,85.689623,41
MIA,2018,181.9,0.859853,156.407196,44
LAL,1992,169.1,0.772454,130.622017,43
LAL,1993,167.5,0.733455,122.85376,39
LAL,1994,162.6,0.644776,104.840646,33
LAL,1995,196.3,0.795229,156.103386,48
LAL,1996,209.2,0.826672,172.93973,53
LAL,1997,196.1,0.412109,80.814524,56
LAL,1998,195,0.719909,140.382165,61
LAL,2000,192.7,0.412571,79.502458,67
LAL,2001,181.3,0.733039,132.899901,56
LAL,2002,209.6,0.724304,151.814089,58
LAL,2003,220.8,0.879797,194.259122,50
LAL,2004,175.9,0.714029,125.597784,56
LAL,2005,208.8,0.355965,74.325585,34
LAL,2006,197.3,0.501148,98.876574,45
LAL,2007,183.9,0.822912,151.33344,42
LAL,2008,191.8,0.671316,128.75842,57
LAL,2009,171.4,0.728841,124.923427,65
LAL,2010,169.8,0.848328,144.046137,57
LAL,2011,173.8,0.843465,146.594295,57
LAL,2013,146.5,0.437276,64.060996,45
LAL,2014,169.6,0.437663,74.227577,27
LAL,2015,212.8,0.459273,97.733374,21
LAL,2016,194.8,0.307967,59.992065,17
LAL,2017,181.7,0.576504,104.750789,26
LAL,2018,182.6,0.330203,60.295114,35
ORL,1992,163.2,0.935066,152.60278,21
ORL,1993,182.2,0.676621,123.280334,41
ORL,1994,183.1,0.862769,157.973061,50
ORL,1995,184.7,0.791926,146.268698,57
ORL,1996,225.4,0.934024,210.529098,60
ORL,1997,212.1,0.663298,140.685456,45
ORL,1998,172.4,0.641814,110.648738,41
ORL,2000,111.2,0.251108,27.923179,41
ORL,2001,161.9,0.554903,89.838869,43
ORL,2002,186.7,0.711392,132.816938,44
ORL,2003,188.2,0.607602,114.350626,42
ORL,2004,162.9,0.371382,60.498146,21
ORL,2005,146.4,0.06281,9.195378,36
ORL,2006,172.5,0.677967,116.94939,36
ORL,2007,165.3,0.656514,108.521802,40
ORL,2008,199,0.646382,128.630041,52
ORL,2009,175.7,0.582876,102.411316,59
ORL,2010,151.8,0.594832,90.295546,59
ORL,2011,184.9,0.410158,75.838126,52
ORL,2013,168.4,0.243155,40.947384,20
ORL,2014,136.4,0.629273,85.832888,23
ORL,2015,157.1,0.531408,83.484121,25
ORL,2016,182.4,0.589202,107.470488,35
ORL,2017,157.7,0.542846,85.60674,29
ORL,2018,151.3,0.558023,84.428936,25
POR,1992,161.8,0.936875,151.586375,57
POR,1993,177,0.800935,141.765488,51
POR,1994,166.2,0.801946,133.283448,47
POR,1995,178.6,0.814492,145.468248,44
POR,1996,160.3,0.700843,112.345212,44
POR,1997,168.6,0.424527,71.575326,49
POR,1998,178.3,0.367856,65.58867,46
POR,2000,225.7,0.406387,91.72159,59
POR,2001,196.8,0.892591,175.662,50
POR,2002,234.8,0.66091,155.181563,49
POR,2003,204.5,0.863044,176.492436,50
POR,2004,205,0.480107,98.421875,41
POR,2005,152.7,0.491128,74.995253,27
POR,2006,202.1,0.489746,98.977653,21
POR,2007,154.2,0.394085,60.767963,32
POR,2008,172.9,0.573069,99.083648,41
POR,2009,171,0.811418,138.752424,54
POR,2010,186.5,0.674919,125.872337,50
POR,2011,197.4,0.520224,102.692134,48
POR,2013,150.2,0.360676,54.173507,33
POR,2014,155.7,0.739715,115.173695,54
POR,2015,189.2,0.843237,159.5404,51
POR,2016,187.1,0.347043,64.931686,44
POR,2017,171.4,0.797988,136.77511,41
POR,2018,163.1,0.723633,118.024563,49
CHH,1992,157.3,0.622663,97.944827,31
CHH,1993,166.5,0.810732,134.986829,44
CHH,1994,154.7,0.746824,115.533702,41
CHH,1995,172.3,0.800203,137.87502,50
CHH,1996,185.4,0.600264,111.288988,41
CHH,1997,160.1,0.429543,68.769784,54
CHH,1998,145.5,0.634111,92.263117,51
CHH,2000,120.3,0.321789,38.711171,49
CHH,2001,155.8,0.523862,81.617667,46
